==========       System Configuration      =============
phase:train
use_cpu:False
runs:10
validation:0.2
data_dir:/data/entity
batch_size:1
dataset:AIFB
total_epochs:50
save_freq:5
lr:0.01
multi_gpus:False
postname:
l2norm:0.0005
kernel_size:64
block_type:dense
n_layers:7
act:relu
norm:layer
bias:True
dropout:0.2
channels:64
dec:basis
bases:30
aggr:mean
ckpt_path:
save_best_only:True
task:denseR
post:denseR-AIFB-dense-7-64
time:210215-06-31-56
save_path:/content/drive/My Drive/denseR/checkpoints/ckpts-denseR-AIFB-dense-7-64-210215-06-31-56
logdir:/content/drive/My Drive/denseR/logs/denseR-AIFB-dense-7-64-210215-06-31-56
device:cuda
epoch:-1
printer:<Logger args (DEBUG)>
==========     CONFIG END    =============


===> Phase is train.
 === Downloading Dataset and Creating graphs ===
=== Dataset info ===
Number of training nodes: 140 	 Number of testing nodes: 36	 Total Number of labelled nodes: 176
Number of classes in this graph: 4 	 Number of nodes: 8285 	 Number of relation types: 90
==== Initializing the Optimizer ====
Run: [1]	 Epoch: [1]	 Train Loss:  1.702175 	 Train Accuracy:  0.7500 	Valid Loss:  1.2050 	 Valid Accuracy:  0.6071
Run: [1]	 Epoch: [2]	 Train Loss:  0.900585 	 Train Accuracy:  0.7589 	Valid Loss:  0.6722 	 Valid Accuracy:  0.8214
Run: [1]	 Epoch: [3]	 Train Loss:  0.710594 	 Train Accuracy:  0.9643 	Valid Loss:  0.4436 	 Valid Accuracy:  0.8929
Run: [1]	 Epoch: [4]	 Train Loss:  0.364044 	 Train Accuracy:  0.9643 	Valid Loss:  0.4852 	 Valid Accuracy:  0.8571
Run: [1]	 Epoch: [5]	 Train Loss:  0.268079 	 Train Accuracy:  1.0000 	Valid Loss:  0.5425 	 Valid Accuracy:  0.8571
Run: [1]	 Epoch: [6]	 Train Loss:  0.250181 	 Train Accuracy:  1.0000 	Valid Loss:  0.5199 	 Valid Accuracy:  0.8571
Run: [1]	 Epoch: [7]	 Train Loss:  0.234193 	 Train Accuracy:  1.0000 	Valid Loss:  0.4632 	 Valid Accuracy:  0.8571
Run: [1]	 Epoch: [8]	 Train Loss:  0.166969 	 Train Accuracy:  1.0000 	Valid Loss:  0.4352 	 Valid Accuracy:  0.8571
Run: [1]	 Epoch: [9]	 Train Loss:  0.187792 	 Train Accuracy:  1.0000 	Valid Loss:  0.4191 	 Valid Accuracy:  0.8929
Run: [1]	 Epoch: [10]	 Train Loss:  0.148836 	 Train Accuracy:  1.0000 	Valid Loss:  0.4037 	 Valid Accuracy:  0.9286
Run: [1]	 Epoch: [11]	 Train Loss:  0.141193 	 Train Accuracy:  1.0000 	Valid Loss:  0.3913 	 Valid Accuracy:  0.9286
Run: [1]	 Epoch: [12]	 Train Loss:  0.105856 	 Train Accuracy:  1.0000 	Valid Loss:  0.3780 	 Valid Accuracy:  0.9286
Run: [1]	 Epoch: [13]	 Train Loss:  0.114131 	 Train Accuracy:  1.0000 	Valid Loss:  0.3733 	 Valid Accuracy:  0.9286
Run: [1]	 Epoch: [14]	 Train Loss:  0.100362 	 Train Accuracy:  1.0000 	Valid Loss:  0.3751 	 Valid Accuracy:  0.9286
Run: [1]	 Epoch: [15]	 Train Loss:  0.094163 	 Train Accuracy:  1.0000 	Valid Loss:  0.3840 	 Valid Accuracy:  0.9286
Run: [1]	 Epoch: [16]	 Train Loss:  0.086298 	 Train Accuracy:  1.0000 	Valid Loss:  0.3968 	 Valid Accuracy:  0.9286
Run: [1]	 Epoch: [17]	 Train Loss:  0.101819 	 Train Accuracy:  1.0000 	Valid Loss:  0.4142 	 Valid Accuracy:  0.9286
Run: [1]	 Epoch: [18]	 Train Loss:  0.078845 	 Train Accuracy:  1.0000 	Valid Loss:  0.4306 	 Valid Accuracy:  0.8571
Run: [1]	 Epoch: [19]	 Train Loss:  0.093482 	 Train Accuracy:  1.0000 	Valid Loss:  0.4455 	 Valid Accuracy:  0.8571
Run: [1]	 Epoch: [20]	 Train Loss:  0.069943 	 Train Accuracy:  1.0000 	Valid Loss:  0.4539 	 Valid Accuracy:  0.8571
Run: [1]	 Epoch: [21]	 Train Loss:  0.053714 	 Train Accuracy:  1.0000 	Valid Loss:  0.4590 	 Valid Accuracy:  0.8571
Run: [1]	 Epoch: [22]	 Train Loss:  0.043505 	 Train Accuracy:  1.0000 	Valid Loss:  0.4636 	 Valid Accuracy:  0.8929
