==========       System Configuration      =============
phase:train
use_cpu:False
runs:10
validation:0.1
data_dir:/data/entity
batch_size:1
dataset:AIFB
total_epochs:50
save_freq:5
lr:0.01
multi_gpus:False
postname:
l2norm:0.0005
no_fusion:True
kernel_size:64
block_type:dense
n_layers:7
act:relu
norm:layer
bias:True
dropout:0.2
channels:16
dec:basis
bases:30
aggr:mean
ckpt_path:
save_best_only:True
task:denseR
post:denseR-AIFB-dense-7-16-No fuse
time:210302-17-05-07
save_path:/content/drive/My Drive/denseR/checkpoints/ckpts-denseR-AIFB-dense-7-16-No fuse-210302-17-05-07
logdir:/content/drive/My Drive/denseR/logs/denseR-AIFB-dense-7-16-No fuse-210302-17-05-07
device:cuda
epoch:-1
printer:<Logger args (DEBUG)>
==========     CONFIG END    =============


===> Phase is train.
 === Downloading Dataset and Creating graphs ===
=== Dataset info ===
Number of training nodes: 140 	 Number of testing nodes: 36	 Total Number of labelled nodes: 176
Number of classes in this graph: 4 	 Number of nodes: 8285 	 Number of relation types: 90
==== Initializing the Optimizer ====
Run: [1]	 Epoch: [1]	 Train Loss:  5.754254 	 Train Accuracy:  0.5635 	Valid Loss:  3.0307 	 Valid Accuracy:  0.5000
Run: [1]	 Epoch: [2]	 Train Loss:  2.686502 	 Train Accuracy:  0.9603 	Valid Loss:  2.6822 	 Valid Accuracy:  0.7143
Run: [1]	 Epoch: [3]	 Train Loss:  1.652708 	 Train Accuracy:  0.9841 	Valid Loss:  2.4475 	 Valid Accuracy:  0.7143
Run: [1]	 Epoch: [4]	 Train Loss:  1.467341 	 Train Accuracy:  0.9841 	Valid Loss:  2.2271 	 Valid Accuracy:  0.7857
Run: [1]	 Epoch: [5]	 Train Loss:  1.384543 	 Train Accuracy:  0.9841 	Valid Loss:  2.1118 	 Valid Accuracy:  0.7857
Run: [1]	 Epoch: [6]	 Train Loss:  1.314743 	 Train Accuracy:  0.9921 	Valid Loss:  2.0159 	 Valid Accuracy:  0.7857
Run: [1]	 Epoch: [7]	 Train Loss:  1.251709 	 Train Accuracy:  1.0000 	Valid Loss:  1.8958 	 Valid Accuracy:  0.7857
Run: [1]	 Epoch: [8]	 Train Loss:  1.194314 	 Train Accuracy:  1.0000 	Valid Loss:  1.6090 	 Valid Accuracy:  0.8571
Run: [1]	 Epoch: [9]	 Train Loss:  1.141219 	 Train Accuracy:  1.0000 	Valid Loss:  1.4917 	 Valid Accuracy:  0.9286
Run: [1]	 Epoch: [10]	 Train Loss:  1.091728 	 Train Accuracy:  1.0000 	Valid Loss:  1.4245 	 Valid Accuracy:  0.9286
Run: [1]	 Epoch: [11]	 Train Loss:  1.045464 	 Train Accuracy:  1.0000 	Valid Loss:  1.3618 	 Valid Accuracy:  0.9286
Run: [1]	 Epoch: [12]	 Train Loss:  1.001973 	 Train Accuracy:  1.0000 	Valid Loss:  1.3030 	 Valid Accuracy:  0.9286
Run: [1]	 Epoch: [13]	 Train Loss:  0.960787 	 Train Accuracy:  1.0000 	Valid Loss:  1.2478 	 Valid Accuracy:  0.9286
Run: [1]	 Epoch: [14]	 Train Loss:  0.921518 	 Train Accuracy:  1.0000 	Valid Loss:  1.1961 	 Valid Accuracy:  0.9286
Run: [1]	 Epoch: [15]	 Train Loss:  0.883830 	 Train Accuracy:  1.0000 	Valid Loss:  1.1480 	 Valid Accuracy:  0.9286
Run: [1]	 Epoch: [16]	 Train Loss:  0.847578 	 Train Accuracy:  1.0000 	Valid Loss:  1.1031 	 Valid Accuracy:  0.9286
Run: [1]	 Epoch: [17]	 Train Loss:  0.812767 	 Train Accuracy:  1.0000 	Valid Loss:  1.0610 	 Valid Accuracy:  0.9286
Run: [1]	 Epoch: [18]	 Train Loss:  0.779386 	 Train Accuracy:  1.0000 	Valid Loss:  1.0212 	 Valid Accuracy:  0.9286
Run: [1]	 Epoch: [19]	 Train Loss:  0.747378 	 Train Accuracy:  1.0000 	Valid Loss:  0.9837 	 Valid Accuracy:  0.9286
Run: [1]	 Epoch: [20]	 Train Loss:  0.716682 	 Train Accuracy:  1.0000 	Valid Loss:  0.9485 	 Valid Accuracy:  0.9286
