==========       System Configuration      =============
phase:train
use_cpu:False
runs:10
validation:0.2
data_dir:/data/entity
batch_size:1
dataset:MUTAG
total_epochs:50
save_freq:5
lr:0.01
multi_gpus:False
postname:
l2norm:0.0005
kernel_size:64
block_type:plain
n_layers:7
act:relu
norm:layer
bias:True
dropout:0.2
channels:64
dec:basis
bases:30
aggr:mean
ckpt_path:
save_best_only:True
task:denseR
post:denseR-MUTAG-plain-7-64
time:210301-22-37-22
save_path:/content/drive/My Drive/denseR/checkpoints/ckpts-denseR-MUTAG-plain-7-64-210301-22-37-22
logdir:/content/drive/My Drive/denseR/logs/denseR-MUTAG-plain-7-64-210301-22-37-22
device:cuda
epoch:-1
printer:<Logger args (DEBUG)>
==========     CONFIG END    =============


===> Phase is train.
 === Downloading Dataset and Creating graphs ===
=== Dataset info ===
Number of training nodes: 272 	 Number of testing nodes: 68	 Total Number of labelled nodes: 340
Number of classes in this graph: 2 	 Number of nodes: 23644 	 Number of relation types: 46
==== Initializing the Optimizer ====
Run: [1]	 Epoch: [1]	 Train Loss:  1.026793 	 Train Accuracy:  0.6175 	Valid Loss:  1.1181 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [2]	 Train Loss:  1.027788 	 Train Accuracy:  0.6221 	Valid Loss:  0.6921 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [3]	 Train Loss:  0.621573 	 Train Accuracy:  0.3825 	Valid Loss:  0.7986 	 Valid Accuracy:  0.4182
Run: [1]	 Epoch: [4]	 Train Loss:  0.750030 	 Train Accuracy:  0.7235 	Valid Loss:  0.6610 	 Valid Accuracy:  0.6000
Run: [1]	 Epoch: [5]	 Train Loss:  0.610385 	 Train Accuracy:  0.6221 	Valid Loss:  0.6782 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [6]	 Train Loss:  0.588643 	 Train Accuracy:  0.6175 	Valid Loss:  0.6875 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [7]	 Train Loss:  0.580697 	 Train Accuracy:  0.6313 	Valid Loss:  0.6753 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [8]	 Train Loss:  0.559143 	 Train Accuracy:  0.7235 	Valid Loss:  0.6537 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [9]	 Train Loss:  0.509929 	 Train Accuracy:  0.8894 	Valid Loss:  0.6430 	 Valid Accuracy:  0.6545
Run: [1]	 Epoch: [10]	 Train Loss:  0.483387 	 Train Accuracy:  0.9309 	Valid Loss:  0.6416 	 Valid Accuracy:  0.6545
Run: [1]	 Epoch: [11]	 Train Loss:  0.467334 	 Train Accuracy:  0.9493 	Valid Loss:  0.6369 	 Valid Accuracy:  0.6545
Run: [1]	 Epoch: [12]	 Train Loss:  0.415792 	 Train Accuracy:  0.9493 	Valid Loss:  0.6267 	 Valid Accuracy:  0.6545
Run: [1]	 Epoch: [13]	 Train Loss:  0.381233 	 Train Accuracy:  0.9585 	Valid Loss:  0.6228 	 Valid Accuracy:  0.6364
Run: [1]	 Epoch: [14]	 Train Loss:  0.316898 	 Train Accuracy:  0.9724 	Valid Loss:  0.6249 	 Valid Accuracy:  0.6000
Run: [1]	 Epoch: [15]	 Train Loss:  0.258414 	 Train Accuracy:  0.9816 	Valid Loss:  0.6312 	 Valid Accuracy:  0.5636
Run: [1]	 Epoch: [16]	 Train Loss:  0.195212 	 Train Accuracy:  0.9954 	Valid Loss:  0.6488 	 Valid Accuracy:  0.6000
Run: [1]	 Epoch: [17]	 Train Loss:  0.157000 	 Train Accuracy:  1.0000 	Valid Loss:  0.6956 	 Valid Accuracy:  0.6182
Run: [1]	 Epoch: [18]	 Train Loss:  0.108172 	 Train Accuracy:  1.0000 	Valid Loss:  0.7962 	 Valid Accuracy:  0.6364
Run: [1]	 Epoch: [19]	 Train Loss:  0.086460 	 Train Accuracy:  1.0000 	Valid Loss:  0.9529 	 Valid Accuracy:  0.6182
Run: [1]	 Epoch: [20]	 Train Loss:  0.075229 	 Train Accuracy:  1.0000 	Valid Loss:  1.1376 	 Valid Accuracy:  0.6000
Run: [1]	 Epoch: [21]	 Train Loss:  0.067378 	 Train Accuracy:  1.0000 	Valid Loss:  1.3155 	 Valid Accuracy:  0.5636
Run: [1]	 Epoch: [22]	 Train Loss:  0.057991 	 Train Accuracy:  1.0000 	Valid Loss:  1.4319 	 Valid Accuracy:  0.5636
Run: [1]	 Epoch: [23]	 Train Loss:  0.055929 	 Train Accuracy:  1.0000 	Valid Loss:  1.4696 	 Valid Accuracy:  0.5636
Run: [1]	 Epoch: [24]	 Train Loss:  0.038092 	 Train Accuracy:  1.0000 	Valid Loss:  1.4886 	 Valid Accuracy:  0.5636
Run: [1]	 Epoch: [25]	 Train Loss:  0.045325 	 Train Accuracy:  1.0000 	Valid Loss:  1.4856 	 Valid Accuracy:  0.5455
Run: [1]	 Epoch: [26]	 Train Loss:  0.037130 	 Train Accuracy:  1.0000 	Valid Loss:  1.4659 	 Valid Accuracy:  0.5636
Run: [1]	 Epoch: [27]	 Train Loss:  0.035913 	 Train Accuracy:  1.0000 	Valid Loss:  1.4273 	 Valid Accuracy:  0.5818
