==========       System Configuration      =============
phase:train
use_cpu:False
runs:10
validation:0.2
data_dir:/data/entity
batch_size:1
dataset:MUTAG
total_epochs:50
save_freq:5
lr:0.01
multi_gpus:False
postname:
l2norm:0.0005
kernel_size:64
block_type:dense
n_layers:14
act:relu
norm:layer
bias:True
dropout:0.2
channels:16
dec:basis
bases:30
aggr:mean
ckpt_path:
save_best_only:True
task:denseR
post:denseR-MUTAG-dense-14-16
time:210215-05-36-15
save_path:/content/drive/My Drive/denseR/checkpoints/ckpts-denseR-MUTAG-dense-14-16-210215-05-36-15
logdir:/content/drive/My Drive/denseR/logs/denseR-MUTAG-dense-14-16-210215-05-36-15
device:cuda
epoch:-1
printer:<Logger args (DEBUG)>
==========     CONFIG END    =============


===> Phase is train.
 === Downloading Dataset and Creating graphs ===
=== Dataset info ===
Number of training nodes: 272 	 Number of testing nodes: 68	 Total Number of labelled nodes: 340
Number of classes in this graph: 2 	 Number of nodes: 23644 	 Number of relation types: 46
==== Initializing the Optimizer ====
Run: [1]	 Epoch: [1]	 Train Loss:  0.910437 	 Train Accuracy:  0.6037 	Valid Loss:  0.7660 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [2]	 Train Loss:  0.759188 	 Train Accuracy:  0.3825 	Valid Loss:  0.9080 	 Valid Accuracy:  0.4182
Run: [1]	 Epoch: [3]	 Train Loss:  0.926868 	 Train Accuracy:  0.8525 	Valid Loss:  0.6654 	 Valid Accuracy:  0.6364
Run: [1]	 Epoch: [4]	 Train Loss:  0.567044 	 Train Accuracy:  0.6175 	Valid Loss:  0.7094 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [5]	 Train Loss:  0.561782 	 Train Accuracy:  0.6175 	Valid Loss:  0.7437 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [6]	 Train Loss:  0.563492 	 Train Accuracy:  0.6175 	Valid Loss:  0.7191 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [7]	 Train Loss:  0.527381 	 Train Accuracy:  0.8157 	Valid Loss:  0.6774 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [8]	 Train Loss:  0.460603 	 Train Accuracy:  0.9217 	Valid Loss:  0.6526 	 Valid Accuracy:  0.6364
Run: [1]	 Epoch: [9]	 Train Loss:  0.423590 	 Train Accuracy:  0.9585 	Valid Loss:  0.6465 	 Valid Accuracy:  0.6545
Run: [1]	 Epoch: [10]	 Train Loss:  0.382760 	 Train Accuracy:  0.9816 	Valid Loss:  0.6461 	 Valid Accuracy:  0.6727
Run: [1]	 Epoch: [11]	 Train Loss:  0.359106 	 Train Accuracy:  0.9908 	Valid Loss:  0.6446 	 Valid Accuracy:  0.6909
Run: [1]	 Epoch: [12]	 Train Loss:  0.295112 	 Train Accuracy:  0.9908 	Valid Loss:  0.6477 	 Valid Accuracy:  0.6545
Run: [1]	 Epoch: [13]	 Train Loss:  0.233808 	 Train Accuracy:  0.9954 	Valid Loss:  0.6760 	 Valid Accuracy:  0.6545
Run: [1]	 Epoch: [14]	 Train Loss:  0.190914 	 Train Accuracy:  0.9954 	Valid Loss:  0.7508 	 Valid Accuracy:  0.6364
