==========       System Configuration      =============
phase:train
use_cpu:False
runs:10
validation:0.1
data_dir:/data/entity
batch_size:1
dataset:AIFB
total_epochs:50
save_freq:5
lr:0.01
multi_gpus:False
postname:
l2norm:0.0005
kernel_size:20
block_type:plain
n_layers:1
act:relu
norm:layer
bias:True
dropout:0.2
channels:16
dec:basis
bases:20
aggr:mean
ckpt_path:
save_best_only:True
task:denseR
post:denseR-AIFB-plain-1-16
time:210214-21-34-04
save_path:/content/drive/My Drive/denseR/checkpoints/ckpts-denseR-AIFB-plain-1-16-210214-21-34-04
logdir:/content/drive/My Drive/denseR/logs/denseR-AIFB-plain-1-16-210214-21-34-04
device:cuda
epoch:-1
printer:<Logger args (DEBUG)>
==========     CONFIG END    =============


===> Phase is train.
 === Downloading Dataset and Creating graphs ===
=== Dataset info ===
Number of training nodes: 140 	 Number of testing nodes: 36	 Total Number of labelled nodes: 176
Number of classes in this graph: 4 	 Number of nodes: 8285 	 Number of relation types: 90
==== Initializing the Optimizer ====
Run: [1]	 Epoch: [1]	 Train Loss:  1.942577 	 Train Accuracy:  0.7143 	Valid Loss:  0.9557 	 Valid Accuracy:  0.6429
Run: [1]	 Epoch: [2]	 Train Loss:  0.985099 	 Train Accuracy:  0.8571 	Valid Loss:  0.8163 	 Valid Accuracy:  0.7143
Run: [1]	 Epoch: [3]	 Train Loss:  0.677615 	 Train Accuracy:  0.9286 	Valid Loss:  0.7902 	 Valid Accuracy:  0.6429
Run: [1]	 Epoch: [4]	 Train Loss:  0.526311 	 Train Accuracy:  0.9365 	Valid Loss:  0.7875 	 Valid Accuracy:  0.6429
Run: [1]	 Epoch: [5]	 Train Loss:  0.434779 	 Train Accuracy:  0.9365 	Valid Loss:  0.7774 	 Valid Accuracy:  0.6429
Run: [1]	 Epoch: [6]	 Train Loss:  0.366972 	 Train Accuracy:  0.9524 	Valid Loss:  0.7631 	 Valid Accuracy:  0.6429
Run: [1]	 Epoch: [7]	 Train Loss:  0.298512 	 Train Accuracy:  0.9603 	Valid Loss:  0.7334 	 Valid Accuracy:  0.6429
Run: [1]	 Epoch: [8]	 Train Loss:  0.282901 	 Train Accuracy:  0.9762 	Valid Loss:  0.6877 	 Valid Accuracy:  0.6429
Run: [1]	 Epoch: [9]	 Train Loss:  0.223336 	 Train Accuracy:  0.9762 	Valid Loss:  0.6425 	 Valid Accuracy:  0.7143
Run: [1]	 Epoch: [10]	 Train Loss:  0.188688 	 Train Accuracy:  0.9762 	Valid Loss:  0.5916 	 Valid Accuracy:  0.7143
Run: [1]	 Epoch: [11]	 Train Loss:  0.172063 	 Train Accuracy:  1.0000 	Valid Loss:  0.5373 	 Valid Accuracy:  0.7143
Run: [1]	 Epoch: [12]	 Train Loss:  0.160459 	 Train Accuracy:  1.0000 	Valid Loss:  0.4834 	 Valid Accuracy:  0.7143
Run: [1]	 Epoch: [13]	 Train Loss:  0.128738 	 Train Accuracy:  1.0000 	Valid Loss:  0.4471 	 Valid Accuracy:  0.7143
Run: [1]	 Epoch: [14]	 Train Loss:  0.085378 	 Train Accuracy:  1.0000 	Valid Loss:  0.4220 	 Valid Accuracy:  0.7143
Run: [1]	 Epoch: [15]	 Train Loss:  0.083096 	 Train Accuracy:  1.0000 	Valid Loss:  0.4108 	 Valid Accuracy:  0.7143
Run: [1]	 Epoch: [16]	 Train Loss:  0.064650 	 Train Accuracy:  1.0000 	Valid Loss:  0.4061 	 Valid Accuracy:  0.7857
Run: [1]	 Epoch: [17]	 Train Loss:  0.078968 	 Train Accuracy:  1.0000 	Valid Loss:  0.4063 	 Valid Accuracy:  0.7857
Run: [1]	 Epoch: [18]	 Train Loss:  0.052548 	 Train Accuracy:  1.0000 	Valid Loss:  0.4064 	 Valid Accuracy:  0.7857
Run: [1]	 Epoch: [19]	 Train Loss:  0.042994 	 Train Accuracy:  1.0000 	Valid Loss:  0.4111 	 Valid Accuracy:  0.7857
Run: [1]	 Epoch: [20]	 Train Loss:  0.037986 	 Train Accuracy:  1.0000 	Valid Loss:  0.4231 	 Valid Accuracy:  0.7857
Run: [1]	 Epoch: [21]	 Train Loss:  0.050841 	 Train Accuracy:  1.0000 	Valid Loss:  0.4383 	 Valid Accuracy:  0.7857
Run: [1]	 Epoch: [22]	 Train Loss:  0.036599 	 Train Accuracy:  1.0000 	Valid Loss:  0.4545 	 Valid Accuracy:  0.7857
Run: [1]	 Epoch: [23]	 Train Loss:  0.061852 	 Train Accuracy:  1.0000 	Valid Loss:  0.4694 	 Valid Accuracy:  0.7857
Run: [1]	 Epoch: [24]	 Train Loss:  0.034874 	 Train Accuracy:  1.0000 	Valid Loss:  0.4641 	 Valid Accuracy:  0.7857
Run: [1]	 Epoch: [25]	 Train Loss:  0.030675 	 Train Accuracy:  1.0000 	Valid Loss:  0.4516 	 Valid Accuracy:  0.7857
Run: [1]	 Epoch: [26]	 Train Loss:  0.034447 	 Train Accuracy:  1.0000 	Valid Loss:  0.4508 	 Valid Accuracy:  0.7857
Run: [1]	 Epoch: [27]	 Train Loss:  0.020456 	 Train Accuracy:  1.0000 	Valid Loss:  0.4529 	 Valid Accuracy:  0.7857
Run: [1]	 Epoch: [28]	 Train Loss:  0.016059 	 Train Accuracy:  1.0000 	Valid Loss:  0.4589 	 Valid Accuracy:  0.7857
Run: [1]	 Epoch: [29]	 Train Loss:  0.011509 	 Train Accuracy:  1.0000 	Valid Loss:  0.4783 	 Valid Accuracy:  0.7857
Run: [1]	 Epoch: [30]	 Train Loss:  0.018744 	 Train Accuracy:  1.0000 	Valid Loss:  0.4965 	 Valid Accuracy:  0.8571
Run: [1]	 Epoch: [31]	 Train Loss:  0.017073 	 Train Accuracy:  1.0000 	Valid Loss:  0.5160 	 Valid Accuracy:  0.8571
Run: [1]	 Epoch: [32]	 Train Loss:  0.012618 	 Train Accuracy:  1.0000 	Valid Loss:  0.5376 	 Valid Accuracy:  0.8571
Run: [1]	 Epoch: [33]	 Train Loss:  0.013184 	 Train Accuracy:  1.0000 	Valid Loss:  0.5660 	 Valid Accuracy:  0.8571
Run: [1]	 Epoch: [34]	 Train Loss:  0.009043 	 Train Accuracy:  1.0000 	Valid Loss:  0.5992 	 Valid Accuracy:  0.8571
Run: [1]	 Epoch: [35]	 Train Loss:  0.007532 	 Train Accuracy:  1.0000 	Valid Loss:  0.6378 	 Valid Accuracy:  0.8571
Run: [1]	 Epoch: [36]	 Train Loss:  0.008678 	 Train Accuracy:  1.0000 	Valid Loss:  0.6817 	 Valid Accuracy:  0.8571
Run: [1]	 Epoch: [37]	 Train Loss:  0.008068 	 Train Accuracy:  1.0000 	Valid Loss:  0.7284 	 Valid Accuracy:  0.8571
Run: [1]	 Epoch: [38]	 Train Loss:  0.009588 	 Train Accuracy:  1.0000 	Valid Loss:  0.7786 	 Valid Accuracy:  0.8571
Run: [1]	 Epoch: [39]	 Train Loss:  0.012443 	 Train Accuracy:  1.0000 	Valid Loss:  0.8283 	 Valid Accuracy:  0.8571
Run: [1]	 Epoch: [40]	 Train Loss:  0.016983 	 Train Accuracy:  1.0000 	Valid Loss:  0.8789 	 Valid Accuracy:  0.8571
Run: [1]	 Epoch: [41]	 Train Loss:  0.006174 	 Train Accuracy:  1.0000 	Valid Loss:  0.9265 	 Valid Accuracy:  0.8571
Run: [1]	 Epoch: [42]	 Train Loss:  0.015227 	 Train Accuracy:  1.0000 	Valid Loss:  0.9714 	 Valid Accuracy:  0.8571
Run: [1]	 Epoch: [43]	 Train Loss:  0.008474 	 Train Accuracy:  1.0000 	Valid Loss:  1.0164 	 Valid Accuracy:  0.8571
Run: [1]	 Epoch: [44]	 Train Loss:  0.007830 	 Train Accuracy:  1.0000 	Valid Loss:  1.0598 	 Valid Accuracy:  0.8571
Run: [1]	 Epoch: [45]	 Train Loss:  0.005407 	 Train Accuracy:  1.0000 	Valid Loss:  1.1046 	 Valid Accuracy:  0.7857
Run: [1]	 Epoch: [46]	 Train Loss:  0.010923 	 Train Accuracy:  1.0000 	Valid Loss:  1.1528 	 Valid Accuracy:  0.7857
Run: [1]	 Epoch: [47]	 Train Loss:  0.017976 	 Train Accuracy:  1.0000 	Valid Loss:  1.2018 	 Valid Accuracy:  0.7857
Run: [1]	 Epoch: [48]	 Train Loss:  0.007886 	 Train Accuracy:  1.0000 	Valid Loss:  1.2597 	 Valid Accuracy:  0.7857
Run: [1]	 Epoch: [49]	 Train Loss:  0.009229 	 Train Accuracy:  1.0000 	Valid Loss:  1.3196 	 Valid Accuracy:  0.7857
Run: [1]	 Epoch: [50]	 Train Loss:  0.004666 	 Train Accuracy:  1.0000 	Valid Loss:  1.3809 	 Valid Accuracy:  0.7857
Test Accuracy in run 1 is: 0.944444477558136
Total Train Accuracy after run 1 is: 1.0000
Total Test Accuracy after run 1 is: 0.9444
Best Test Accuracy in 1 runs is: 0.9444
Run: [2]	 Epoch: [1]	 Train Loss:  1.557096 	 Train Accuracy:  0.8175 	Valid Loss:  0.8844 	 Valid Accuracy:  0.7143
Run: [2]	 Epoch: [2]	 Train Loss:  0.618776 	 Train Accuracy:  0.8810 	Valid Loss:  0.7935 	 Valid Accuracy:  0.7143
Run: [2]	 Epoch: [3]	 Train Loss:  0.532915 	 Train Accuracy:  0.9286 	Valid Loss:  0.7463 	 Valid Accuracy:  0.7143
Run: [2]	 Epoch: [4]	 Train Loss:  0.383652 	 Train Accuracy:  0.9683 	Valid Loss:  0.6935 	 Valid Accuracy:  0.7143
