==========       System Configuration      =============
phase:train
use_cpu:False
runs:10
validation:0.2
data_dir:/data/entity
batch_size:1
dataset:MUTAG
total_epochs:50
save_freq:5
lr:0.01
multi_gpus:False
postname:
l2norm:0.0005
kernel_size:64
block_type:res
n_layers:7
act:relu
norm:layer
bias:True
dropout:0.2
channels:64
dec:basis
bases:30
aggr:mean
ckpt_path:
save_best_only:True
task:denseR
post:denseR-MUTAG-res-7-64
time:210215-03-15-09
save_path:/content/drive/My Drive/denseR/checkpoints/ckpts-denseR-MUTAG-res-7-64-210215-03-15-09
logdir:/content/drive/My Drive/denseR/logs/denseR-MUTAG-res-7-64-210215-03-15-09
device:cuda
epoch:-1
printer:<Logger args (DEBUG)>
==========     CONFIG END    =============


===> Phase is train.
 === Downloading Dataset and Creating graphs ===
=== Dataset info ===
Number of training nodes: 272 	 Number of testing nodes: 68	 Total Number of labelled nodes: 340
Number of classes in this graph: 2 	 Number of nodes: 23644 	 Number of relation types: 46
==== Initializing the Optimizer ====
Run: [1]	 Epoch: [1]	 Train Loss:  0.782343 	 Train Accuracy:  0.6175 	Valid Loss:  0.9662 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [2]	 Train Loss:  0.842924 	 Train Accuracy:  0.3825 	Valid Loss:  1.2002 	 Valid Accuracy:  0.4182
Run: [1]	 Epoch: [3]	 Train Loss:  1.174078 	 Train Accuracy:  0.6221 	Valid Loss:  0.6851 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [4]	 Train Loss:  0.604759 	 Train Accuracy:  0.6175 	Valid Loss:  0.6974 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [5]	 Train Loss:  0.573803 	 Train Accuracy:  0.6221 	Valid Loss:  0.6846 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [6]	 Train Loss:  0.543033 	 Train Accuracy:  0.7512 	Valid Loss:  0.6648 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [7]	 Train Loss:  0.507715 	 Train Accuracy:  0.8894 	Valid Loss:  0.6507 	 Valid Accuracy:  0.5818
Run: [1]	 Epoch: [8]	 Train Loss:  0.471104 	 Train Accuracy:  0.9447 	Valid Loss:  0.6435 	 Valid Accuracy:  0.6182
Run: [1]	 Epoch: [9]	 Train Loss:  0.436239 	 Train Accuracy:  0.9539 	Valid Loss:  0.6384 	 Valid Accuracy:  0.6182
Run: [1]	 Epoch: [10]	 Train Loss:  0.396519 	 Train Accuracy:  0.9724 	Valid Loss:  0.6321 	 Valid Accuracy:  0.6364
Run: [1]	 Epoch: [11]	 Train Loss:  0.356215 	 Train Accuracy:  0.9816 	Valid Loss:  0.6275 	 Valid Accuracy:  0.6364
